fips,state,msa,msaname,compositeindex2010
12031013200,12,27260,"Jacksonville, FL Metro Area",83.983494
12031010900,12,27260,"Jacksonville, FL Metro Area",83.830285
12031014701,12,27260,"Jacksonville, FL Metro Area",83.50527
12031013521,12,27260,"Jacksonville, FL Metro Area",82.645699
12031011901,12,27260,"Jacksonville, FL Metro Area",82.619404
12031016807,12,27260,"Jacksonville, FL Metro Area",82.362219
12109020801,12,27260,"Jacksonville, FL Metro Area",82.073126
12031013727,12,27260,"Jacksonville, FL Metro Area",81.315684
12089050201,12,27260,"Jacksonville, FL Metro Area",81.309545
12089050203,12,27260,"Jacksonville, FL Metro Area",81.142129
12031014404,12,27260,"Jacksonville, FL Metro Area",81.11581
12031014326,12,27260,"Jacksonville, FL Metro Area",81.082555
12031011903,12,27260,"Jacksonville, FL Metro Area",80.147777
12031010304,12,27260,"Jacksonville, FL Metro Area",79.782084
12031011300,12,27260,"Jacksonville, FL Metro Area",78.901054
12031014335,12,27260,"Jacksonville, FL Metro Area",78.416086
12019031104,12,27260,"Jacksonville, FL Metro Area",78.204086
12031013901,12,27260,"Jacksonville, FL Metro Area",78.16832
12031016803,12,27260,"Jacksonville, FL Metro Area",78.131004
12031016728,12,27260,"Jacksonville, FL Metro Area",77.718633
12019031300,12,27260,"Jacksonville, FL Metro Area",77.621192
12031014411,12,27260,"Jacksonville, FL Metro Area",77.389703
12031013503,12,27260,"Jacksonville, FL Metro Area",77.266078
12019030203,12,27260,"Jacksonville, FL Metro Area",77.196749
12031010201,12,27260,"Jacksonville, FL Metro Area",76.920017
12031014337,12,27260,"Jacksonville, FL Metro Area",76.918889
12109020804,12,27260,"Jacksonville, FL Metro Area",76.632262
12109020601,12,27260,"Jacksonville, FL Metro Area",75.943743
12109021003,12,27260,"Jacksonville, FL Metro Area",75.495183
12031014410,12,27260,"Jacksonville, FL Metro Area",75.269062
12109020706,12,27260,"Jacksonville, FL Metro Area",74.739917
12019030202,12,27260,"Jacksonville, FL Metro Area",74.361817
12031011902,12,27260,"Jacksonville, FL Metro Area",74.348028
12109020803,12,27260,"Jacksonville, FL Metro Area",74.251987
12031014601,12,27260,"Jacksonville, FL Metro Area",73.804952
12109021301,12,27260,"Jacksonville, FL Metro Area",73.37434
12019031108,12,27260,"Jacksonville, FL Metro Area",72.277392
12031010500,12,27260,"Jacksonville, FL Metro Area",72.191623
12109021205,12,27260,"Jacksonville, FL Metro Area",72.054746
12031016805,12,27260,"Jacksonville, FL Metro Area",71.971631
12031013800,12,27260,"Jacksonville, FL Metro Area",71.673356
12031011700,12,27260,"Jacksonville, FL Metro Area",71.161598
12109020708,12,27260,"Jacksonville, FL Metro Area",70.517836
12031014406,12,27260,"Jacksonville, FL Metro Area",70.193865
12089050303,12,27260,"Jacksonville, FL Metro Area",69.889252
12031014330,12,27260,"Jacksonville, FL Metro Area",68.974819
12031013522,12,27260,"Jacksonville, FL Metro Area",68.481672
12031014328,12,27260,"Jacksonville, FL Metro Area",68.380456
12031013723,12,27260,"Jacksonville, FL Metro Area",68.328596
12031013726,12,27260,"Jacksonville, FL Metro Area",68.021187
12019030103,12,27260,"Jacksonville, FL Metro Area",67.890211
12109020602,12,27260,"Jacksonville, FL Metro Area",67.876173
12031010103,12,27260,"Jacksonville, FL Metro Area",67.397003
12109020902,12,27260,"Jacksonville, FL Metro Area",66.876555
12031016806,12,27260,"Jacksonville, FL Metro Area",66.615992
12109021203,12,27260,"Jacksonville, FL Metro Area",66.360136
12109020806,12,27260,"Jacksonville, FL Metro Area",65.945648
12031014413,12,27260,"Jacksonville, FL Metro Area",65.003245
12089050302,12,27260,"Jacksonville, FL Metro Area",64.872908
12109021103,12,27260,"Jacksonville, FL Metro Area",64.611178
12109020901,12,27260,"Jacksonville, FL Metro Area",63.338176
12031016804,12,27260,"Jacksonville, FL Metro Area",63.303927
12031013721,12,27260,"Jacksonville, FL Metro Area",62.788685
12003040202,12,27260,"Jacksonville, FL Metro Area",61.934751
12109020805,12,27260,"Jacksonville, FL Metro Area",60.467825
12003040101,12,27260,"Jacksonville, FL Metro Area",60.250198
12019030102,12,27260,"Jacksonville, FL Metro Area",59.854341
12031014412,12,27260,"Jacksonville, FL Metro Area",58.708449
12019031106,12,27260,"Jacksonville, FL Metro Area",58.251685
12031010101,12,27260,"Jacksonville, FL Metro Area",56.441784
12019030201,12,27260,"Jacksonville, FL Metro Area",56.23259
12031013502,12,27260,"Jacksonville, FL Metro Area",55.739854
12019030104,12,27260,"Jacksonville, FL Metro Area",54.803925
12019031200,12,27260,"Jacksonville, FL Metro Area",52.450468
12031010102,12,27260,"Jacksonville, FL Metro Area",50.409175
12089050502,12,27260,"Jacksonville, FL Metro Area",47.323941
12109020807,12,27260,"Jacksonville, FL Metro Area",45.873585
12019031101,12,27260,"Jacksonville, FL Metro Area",36.215423
